id,interests,graduated_courses,on_progress_courses,events_attended,challenge_joined,winning_apps
378773,,"Belajar Dasar-Dasar Azure Cloud,Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,Meniti Karier sebagai Software Developer,Pengenalan Data pada Pemrograman (Data 101),Pengenalan ke Logika Pemrograman (Programming Logic 101)","Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Belajar Fundamental Front-End Web Development,Belajar Membuat Aplikasi Kognitif,Belajar Membuat Augmented Reality dengan Lens Studio,Belajar Pengembangan Machine Learning,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python,Menjadi Azure Cloud Developer","Android Developer Day,Lintasarta Developer Talk Online Series #2 - Simple Animation on Android,Lintasarta Developer Talk Online Series #4 - Best Practices and Lessons Learned  as a Developer,IDCamp 2019 Virtual Graduation Day,Baparekraf Developer Day 2020,To Survive in the Digital Economy during Pandemic: A Way Forward,Building iOS Apps for Billion Users,Careerhacks: How to start?!,Build Your Beautiful Apps Using SwiftUI,Cara Menjadi Android Developer Expert,Lean-Agile Mindset,Membangun Mobile Backend Menggunakan Kotlin,Mengelola dan Melindungi Data Sensitif dengan Vault,Scrum Introduction,Launching Indosat Ooredoo Virtual Hackathon dan Talkshow,Menggunakan NoSQL Database di Aplikasi Android,Teknik Pendekatan Data supaya Pelanggan Makin Setia,Scrum Journey Implementation,Jetpack Compose untuk UI Masa Depan,Jetpack Compose untuk UI Masa Depan - Bagian 2,Coding Yourself: Memprogram Keunikan Diri Sendiri,Apa yang Baru di Android Studio 4.1,Hack Your Hiring Process: Tips & Tricks,Langkah Menjadi Seorang Front-end Web Developer,Easy Ways to Improve Your Attitude,Membangun UI Android Menggunakan Material Design,Baparekraf Developer Day 2021,Pengalaman Membangun Aplikasi yang Mendunia,Analisa Peretasan Data di Era Pandemi,Kesalahan Umum Ketika Belajar Pemrograman dengan Python,IDCamp Virtual Summit 2021,Potensi Karier Menjadi iOS Developer di Masa Depan,TechTalk 2021: Peran IT Security dalam Penerapan DevOps,Membuat Produk Digital Terbaik ala Startup Unicorn",,
378776,,,,,,
378779,,,,,,
378782,,,Belajar Membuat Game dengan Construct 2,,,
378785,,,,,,
378788,,,,Android Developer Day,,
378791,,,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),"Android Developer Day,Kotlin/Everywhere Jakarta",,
378794,,,,Android Developer Day,,
378797,,,,,,
378800,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378803,,,"Belajar Dasar Pemrograman Web,Belajar Fundamental Front-End Web Development","Android Developer Day,Lintasarta Developer Talk Online Series #1 - JavaScript Module Bundler dengan Webpack,Lintasarta Developer Talk Online Series #2 - Simple Animation on Android,Kesalahan Umum Ketika Belajar Pemrograman dengan Python,Become To Expert Women Programmer,Teknologi Baru Android di Google I/O 2021",,
378806,,,,,,
378809,,,,Kotlin/Everywhere Jakarta,,
378812,,,,Android Developer Day,,
378815,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula","Belajar Android Jetpack Pro,Kotlin Android Developer Expert",Android Developer Day,,
378818,,,,"Android Developer Day,Kotlin/Everywhere Jakarta",,
378821,,,,,,
378824,,,"Belajar Dasar Visualisasi Data,Belajar Membuat Game dengan Construct 2,Pengantar Teknologi Blockchain",,,
378827,,,,,,
378830,,"Belajar Membuat Aplikasi Android untuk Pemula,Menjadi Azure Cloud Developer","Belajar Fundamental Aplikasi Android,Belajar Membuat Game untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Kotlin,Memulai Pemrograman Dengan Python,Source Code Management untuk Pemula","BEKRAF Developer Day 2019 - Purwokerto,Tantangan Menjadi Developer di Abad 21",,
378833,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378836,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378839,,Belajar Dasar Pemrograman Web,"Belajar Membangun LINE Chatbot,Memulai Pemrograman Dengan Python",,,
378842,,,,,,
378845,,Belajar Membuat Aplikasi Android untuk Pemula,"Memulai Pemrograman Dengan Kotlin,Source Code Management untuk Pemula",Baparekraf Developer Day 2021,,
378848,,,Belajar Membangun LINE Chatbot,,,
378851,,,,,,
378854,,,,,,
378857,,,"Belajar Membangun LINE Chatbot,Membangun Progressive Web Apps",,,
378860,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java",,,
378863,,,,,,
378866,,,,,,
378869,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378872,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan C",,,
378875,,,,,,
378878,,,Belajar Fundamental Aplikasi Android,Baparekraf Developer Day 2020,,
378881,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378884,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378887,,,Memulai Pemrograman Dengan Java,,,
378890,,,,,,
378893,,,,,,
378896,,,Belajar Membangun LINE Chatbot,,,
378899,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378902,,,"Belajar Dasar Pemrograman Web,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,Belajar Membuat Aplikasi Android untuk Pemula",,,
378905,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Membangun Progressive Web Apps",,,
378908,,,Kotlin Android Developer Expert,,,
378911,,,Memulai Pemrograman Dengan Java,,,
378914,,,,,,
378917,,,,,,
378920,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378923,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378926,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378929,,"Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Architecting on AWS (Membangun Arsitektur Cloud di AWS)","Belajar Dasar Google Cloud,Belajar Membuat Aplikasi Android untuk Pemula,Menjadi AWS Solutions Architect Associate","Baparekraf Developer Day 2020,How Data Science Increases Ecommerce's Profit,Baparekraf Developer Day 2021,TechTalk 2021: Peran IT Security dalam Penerapan DevOps",,
378932,,,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,,,
378935,,,Belajar Fundamental Aplikasi Android,,,
378938,,Belajar Membuat Aplikasi Android untuk Pemula,,,,
378941,,,,Android Developer Day,,
378944,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378947,,,,,,
378950,,,Belajar Membangun LINE Chatbot,,,
378953,,,,Android Developer Day,,
378956,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378959,,,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,,,
378962,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378965,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378968,,,Belajar Fundamental Aplikasi Android,,,
378971,,,,,,
378974,,,,,,
378977,,,,,,
378980,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378983,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378986,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378989,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378992,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula",,,
378995,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378998,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379001,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379004,,,Belajar Fundamental Aplikasi Android,,,
379007,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379010,,,,,,
379013,,,,,,
379016,,,,,,
379019,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin",,,
379022,,,"Belajar Membangun LINE Chatbot,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer",,,
379025,,,,,,
379031,,,,,,
379034,,,,,,
379037,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Dart","Belajar Dasar Pemrograman Web,Belajar Dasar UX Design,Belajar Fundamental Aplikasi Android,Belajar Fundamental Front-End Web Development,Belajar Prinsip Pemrograman SOLID,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin",Build Your Beautiful Apps Using SwiftUI,,
379040,,,,,,
379043,,,Memulai Pemrograman Dengan Java,,,
379046,,,,,,
379049,,"Memulai Pemrograman Dengan Python,Belajar Dasar Visualisasi Data,Belajar Machine Learning untuk Pemula,Belajar Pengembangan Machine Learning","Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",,,
379055,,Belajar Dasar Pemrograman Web,"Belajar Android Jetpack Pro,Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Menjadi Azure Cloud Developer",Indosat Ooredoo Digital Camp (IDCamp) Developers Meetup - Denpasar,,
379058,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula",,,
379061,,,,,,
379064,,,Memulai Pemrograman Dengan Java,,,
379067,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379070,,,"Kotlin Android Developer Expert,Menjadi Flutter Developer Expert (2019)",Baparekraf Developer Day 2020,,
379073,,,,,,
379076,,,,,,
379079,,,Memulai Pemrograman Dengan Java,,,
379082,,,,,,
379085,,,Memulai Pemrograman Dengan Java,,,
379088,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379091,,,,,,
379094,,,,,,
379097,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379100,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379103,,,Belajar Dasar Pemrograman Web,,,
379106,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379109,,,Membangun Progressive Web Apps,,,
379112,,,Belajar Membuat Game untuk Pemula,,,
379115,,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,,,
379118,,,Belajar Membuat Game untuk Pemula,,,
379121,,,,,,
379124,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379127,,Belajar Membuat Aplikasi Android untuk Pemula,"Belajar Dasar Pemrograman Web,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python,Source Code Management untuk Pemula",,,
379130,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379133,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java",,,
379136,,,,,,
379139,,,,,,
379142,,,"Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game dengan Construct 2,Belajar Membuat Game untuk Pemula",,,
379145,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379148,,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,Memulai Pemrograman Dengan Java,,,
379151,,,,,,
379154,,,"Belajar Membangun LINE Chatbot,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Augmented Reality,Membangun Progressive Web Apps",,,
379157,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula",,,
379160,,,Memulai Pemrograman Dengan Java,,,
379163,,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game dengan Construct 2,Belajar Membuat Game untuk Pemula",,,
379166,,Belajar Dasar Visualisasi Data,"Belajar Dasar Pemrograman Web,Belajar Fundamental Front-End Web Development,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python","""Android Developer Roadmap : Cara menjadi Android Developer"" - Online Meetup #1 Android Dev Kalsel,Perubahan, Pembaharuan dan Adaptasi terkait Privacy di Android 11,Baparekraf Developer Day 2020",,
379169,,,,,,
379172,,,"Bangkit Application Screening,Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Python","Lintasarta Developer Talk - Bandung,Lintasarta Developer Talk Online Series #1 - JavaScript Module Bundler dengan Webpack",,
379175,,,Belajar Membuat Game untuk Pemula,,,
379178,,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula",,,
379181,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Kotlin Android Developer Expert,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Kotlin,Memulai Pemrograman Dengan Swift,Belajar Prinsip Pemrograman SOLID,Belajar Membuat Aplikasi iOS untuk Pemula,Belajar Fundamental Aplikasi iOS,Menjadi iOS Developer Expert","Belajar Android Jetpack Pro,Belajar Dasar Pemrograman Web,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Python,Menjadi Flutter Developer Expert (2019)","Memulai Karir menjadi iOS Developer,Cara Cepat Membangun UI/UX dengan Memanfaatkan Fitur pada Figma,Building iOS Apps for Billion Users,Mengelola dan Melindungi Data Sensitif dengan Vault,Hack Your Hiring Process: Tips & Tricks,Cara Tepat Menjadi iOS Developer Expert,IDCamp Virtual Summit 2021",,
379184,,,,,,
379187,,,,,,
379190,,,"Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",,,
379193,,"Memulai Pemrograman Dengan Swift,Belajar Membuat Aplikasi Flutter untuk Pemula,Belajar Prinsip Pemrograman SOLID,Belajar Membuat Aplikasi iOS untuk Pemula,Belajar Fundamental Aplikasi iOS","Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Menjadi iOS Developer Expert","Building iOS Apps for Billion Users,Careerhacks: How to start?!,Build Your Beautiful Apps Using SwiftUI,Lean-Agile Mindset,Mengelola dan Melindungi Data Sensitif dengan Vault,Scrum Introduction,Hack Your Hiring Process: Tips & Tricks,Cara Tepat Menjadi iOS Developer Expert",,
379196,,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi Kognitif,Memulai Pemrograman Dengan Java",,,
379199,,,,,,
379202,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379205,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Kotlin","Belajar Dasar Pemrograman Web,Belajar Dasar Visualisasi Data,Belajar Dasar-Dasar Azure Cloud,Belajar Fundamental Aplikasi Android,Belajar Machine Learning untuk Pemula,Belajar Membuat Augmented Reality,Kotlin Android Developer Expert,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python",Baparekraf Developer Day 2020,,
379208,,,,,,
379211,,,,,,
379214,,,,,,
379217,,,,,,
379220,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula","Belajar Android Jetpack Pro,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,Belajar Prinsip Pemrograman SOLID,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",Baparekraf Developer Day 2020,,
379223,,,,,,
379226,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",Dicoding Developer Coaching #48: Back-End | Layanan Jaringan di AWS,,
379229,,,,,,
379232,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Dasar Pemrograman Web","Belajar Dasar Git dengan GitHub,Belajar Fundamental Aplikasi Android,Belajar Prinsip Pemrograman SOLID,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Dart,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin,Source Code Management untuk Pemula","Tips Menulis Kode yang Konsisten di JavaScript: Metode ESLint!,Baparekraf Developer Day 2020,Scrum Journey Implementation,Coding Yourself: Memprogram Keunikan Diri Sendiri,Apa yang Baru di Android Studio 4.1,Hack Your Hiring Process: Tips & Tricks,Menilik Kontribusi dan Peluang Karier Perempuan di Dunia IT",,
379235,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula,Belajar Membangun Prototype Chatbot Dengan LINE Bot Designer,Memulai Pemrograman Dengan Kotlin,Belajar Dasar Pemrograman Web,Memulai Pemrograman Dengan Dart,Meniti Karier sebagai Software Developer","Belajar Fundamental Front-End Web Development,Belajar Membangun LINE Chatbot,Belajar Prinsip Pemrograman SOLID,Memulai Pemrograman Dengan Java,Menjadi AWS Solutions Architect Associate,Source Code Management untuk Pemula","BEKRAF Developer Day 2019 - Solo,Lintasarta Developer Talk Online Series #3 - Boost Android App using Android Jetpack,Baparekraf Developer Day 2020,Dicoding Developer Coaching #23: Android | Membangun Modern App dengan Jetpack & Android Architecture Component",,
379238,,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi Kognitif",,,
379241,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379244,,,,,,
379247,,,,,,
379250,"Cloud,Machine Learning",,"Belajar Machine Learning untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",,,
379253,,Memulai Pemrograman Dengan Dart,"Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi Flutter untuk Pemula,Belajar Membuat Game untuk Pemula,Belajar Prinsip Pemrograman SOLID,Memulai Pemrograman Dengan Java,Menjadi Flutter Developer Expert","BEKRAF Developer Day 2019 - Purwokerto,Membuat Produk Digital Terbaik ala Startup Unicorn",,
379259,,,"Belajar Membuat Aplikasi Android untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",AWS X Dicoding LIVE : Storage dan Database di AWS,,
379262,,,"Bangkit Application Screening,Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Python",,,
379265,,,Belajar Membuat Game untuk Pemula,,,
379268,,,"Belajar Dasar Pemrograman Web,Belajar Dasar Visualisasi Data,Belajar Membuat Aplikasi Flutter untuk Pemula,Belajar Membuat Aplikasi Kognitif,Belajar Membuat Augmented Reality dengan Lens Studio,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,Memulai Pemrograman Dengan Dart,Memulai Pemrograman Dengan Java,Meniti Karier sebagai Software Developer,Menjadi Flutter Developer Expert,Pengenalan Data pada Pemrograman (Data 101),Pengenalan ke Logika Pemrograman (Programming Logic 101)","Baparekraf Developer Day 2020,Dicoding Developer Coaching #8: Android | Membuat Tampilan Aplikasimu Semakin Menarik dengan Style & Theme,Baparekraf Developer Day 2021",,
379271,,,Belajar Fundamental Aplikasi Android,,,
379274,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379277,,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Java",,,
379280,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379283,,,Belajar Fundamental Aplikasi Android,,,
379286,,,,,,
379289,,,,,,
379292,,,,,,
379295,,,,,,
379298,,,,,,
379301,,Belajar Dasar Pemrograman Web,"Belajar Fundamental Aplikasi Android,Belajar Fundamental Front-End Web Development,Belajar Prinsip Pemrograman SOLID,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)","ConstraintLayout: Handle with Care,Lintasarta Developer Talk Online Series #4 - Best Practices and Lessons Learned  as a Developer,IDCamp 2019 Virtual Graduation Day,Baparekraf Developer Day 2020",,
379304,,,Belajar Membuat Game untuk Pemula,,,
379307,,,,,,
379310,,,,,,
379313,,,"Belajar Membangun LINE Chatbot,Memulai Pemrograman Dengan Java",,,
379316,,,"Belajar Membuat Aplikasi Android untuk Pemula,Pengantar Teknologi Blockchain",,,
379319,,,"Belajar Membuat Game untuk Pemula,Menjadi Game Developer Expert",BEKRAF Developer Day 2019 - Mataram,,
379322,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Kotlin,Belajar Prinsip Pemrograman SOLID,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Belajar Dasar Pemrograman JavaScript,Belajar Membuat Aplikasi Back-End untuk Pemula","Architecting on AWS (Membangun Arsitektur Cloud di AWS),Belajar Dasar Pemrograman Web,Belajar Dasar Visualisasi Data,Belajar Fundamental Aplikasi Android,Belajar Machine Learning untuk Pemula,Belajar Membangun LINE Chatbot,Belajar Membangun LINE Front-end Framework (LIFF),Belajar Membuat Aplikasi Flutter untuk Pemula,Membangun Progressive Web Apps,Menjadi AWS Solutions Architect Associate,Menjadi Google Cloud Engineer","Melihat Local Database di Android secara Live,GITS Expert Talk #4: How High Quality Assurance Contribute to Resillience Cybersecurity,Ayo Maju Bersama Komunitas Google di Indonesia,Baparekraf Developer Day 2020,Cara Menjadi Android Developer Expert,Membangun Mobile Backend Menggunakan Kotlin",,
379325,,,,,,
379328,,,,,,
379331,,,,,,
379334,,,Membangun Progressive Web Apps,,,
379337,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379340,,,Belajar Membuat Game dengan Construct 2,,,
379343,,,,Baparekraf Developer Day 2020,,
379346,,,"Belajar Dasar Pemrograman Web,Belajar Membuat Aplikasi Android untuk Pemula,Membangun Progressive Web Apps",Baparekraf Developer Day 2020,,
379349,,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),"Belajar Dasar Git dengan GitHub,Belajar Dasar Pemrograman JavaScript,Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi Back-End untuk Pemula,Belajar Membuat Game untuk Pemula",,,
379352,,,,,,
379355,,Belajar Membuat Aplikasi Android untuk Pemula,,BEKRAF Developer Day 2019 - Malang,,
379358,,,"Bangkit Cloud Assessment,Bangkit General Assessment,Belajar Dasar Pemrograman Web,Belajar Dasar Visualisasi Data,Pengantar Teknologi Blockchain",IDCamp 2019 Virtual Graduation Day,,
379361,,"Memulai Pemrograman Dengan Kotlin,Belajar Dasar-Dasar Azure Cloud","Belajar Dasar Pemrograman JavaScript,Belajar Dasar Pemrograman Web,Belajar Membangun LINE Chatbot,Belajar Membangun LINE Front-end Framework (LIFF),Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi Kognitif,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,Memulai Pemrograman Dengan Java,Meniti Karier sebagai Software Developer,Menjadi Azure Cloud Developer,Pengantar Teknologi Blockchain","Lintasarta Developer Talk Online Series #1 - JavaScript Module Bundler dengan Webpack,Lintasarta Developer Talk Online Series #2 - Simple Animation on Android,Lintasarta Developer Talk Online Series #3 - Boost Android App using Android Jetpack,ConstraintLayout: Handle with Care,Lintasarta Developer Talk Online Series #4 - Best Practices and Lessons Learned  as a Developer,IDCamp 2019 Virtual Graduation Day,Baparekraf Developer Day 2020,Lintasarta Digischool 2020 Virtual Graduation Day,Baparekraf Developer Day 2021",,
379364,,,Belajar Membangun LINE Chatbot,,,
379367,,,Memulai Pemrograman Dengan Java,,,
379370,,,,,,
379373,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Kotlin","Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Python","[DSC EVENT] WORKSHOP - AEJ :  Make a simple MVP Apps with Cached Image,AEJ - ITARSI STMKG : Intro Dart & Flutter for Mobile Development,.Net Conf 2019,Baparekraf Developer Day 2020",,
379376,,,"Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Python",,,
379379,,,,,,
379382,,,,,,
379385,,,,,,
379388,,,"Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Python",,,
379391,,,,,,
379394,,"Belajar Membuat Aplikasi Android untuk Pemula,Memulai Pemrograman Dengan Kotlin,Belajar Dasar Pemrograman Web,Belajar Fundamental Front-End Web Development","Belajar Dasar Pemrograman JavaScript,Belajar Fundamental Aplikasi Android,Belajar Membangun LINE Chatbot,Belajar Membangun LINE Front-end Framework (LIFF),Belajar Membuat Aplikasi Back-End untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",Lintasarta Developer Talk - Medan,,
379397,,,,,,
379400,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Kotlin,Memulai Pemrograman Dengan Python,Belajar Dasar-Dasar Azure Cloud,Belajar Membangun LINE Front-end Framework (LIFF),Belajar Dasar Visualisasi Data,Belajar Machine Learning untuk Pemula,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Pengenalan Data pada Pemrograman (Data 101),DevOps Praktis dengan IBM Cloud (Practical DevOps with IBM Cloud),Belajar Membuat Augmented Reality dengan Lens Studio","Belajar Dasar Pemrograman Web,Belajar Fundamental Aplikasi Android,Belajar Membangun LINE Chatbot,Belajar Membuat Front-End Web untuk Pemula,Belajar Membuat Game dengan Construct 2,Memulai Pemrograman Dengan C,Memulai Pemrograman Dengan Java,Menjadi Azure Cloud Developer,Pengenalan ke Logika Pemrograman (Programming Logic 101)","Lintasarta Developer Talk Online Series #4 - Best Practices and Lessons Learned  as a Developer,Lintasarta Developer Talk Online Series #5 - SQlite vs Room,Lintasarta Developer Talk Online Series #6 - Journey to parsing JSON in Android,Transformasi Karyawan ke Working From Home,Intro to Software Product Management,Ngobar Online - Mengenal Depedency Injection Menggunakan Dagger2,Tips Menulis Kode yang Konsisten di JavaScript: Metode ESLint!,""Android Developer Roadmap : Cara menjadi Android Developer"" - Online Meetup #1 Android Dev Kalsel,Baparekraf Developer Day 2020,To Survive in the Digital Economy during Pandemic: A Way Forward,Building iOS Apps for Billion Users,Careerhacks: How to start?!,Build Your Beautiful Apps Using SwiftUI,Kotlin Coroutines Fundamentals,Cara Menjadi Android Developer Expert,Dicoding Developer Coaching #1: Android | Membuat Project Pertama dengan Kotlin,AEJ Live Clean Architecture in Flutter,GITS Webinar: Implementasi REST API di iOS Menggunakan Alamofire dan SwiftyJSON (bersama iOS Developer GITS Indonesia),Dicoding Developer Coaching #6: Android | Membuat Aplikasi Android Pertama dengan Android Studio,5 Tips Transformasi Diri: dari Fresh Graduate jadi Unicorn Engineer,Baparekraf Developer Day 2021",IDCamp Developer Challenge - Snapchat AR Creator Ramadan Series,
379403,,,,,,
379406,,,,,,
379409,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379412,,,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Android untuk Pemula",,,
379415,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Game untuk Pemula,Memulai Pemrograman Dengan Python,Belajar Dasar Visualisasi Data,Belajar Machine Learning untuk Pemula","Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Dart,Menjadi Game Developer Expert","Android Study Jam: “Android Architecture Component”,Baparekraf Developer Day 2022,Dicoding Developer Coaching #46: Flutter | Buat Tema Aplikasimu Menjadi Menarik dengan Material Design",,
379418,,,,,,
379421,,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Membuat Aplikasi Flutter untuk Pemula,Belajar Membuat Game untuk Pemula,Belajar Prinsip Pemrograman SOLID,Memulai Pemrograman Dengan Dart,Memulai Pemrograman Dengan Kotlin",,,
379424,,,Memulai Pemrograman Dengan Java,,,
379427,,,,,,
379430,,,"Membangun Progressive Web Apps,Pengantar Teknologi Blockchain",Menilik Kontribusi dan Peluang Karier Perempuan di Dunia IT,,
379433,,,,,,
379436,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
379439,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
